1001,ΔΗΜΟΣ,ΔΟΞΑΤΟΥ,10
1003,ΔΗΜΟΣ,ΚΑΛΑΜΠΑΚΙΟΥ,10
1002,ΔΗΜΟΣ,ΔΡΑΜΑΣ,10
1008,ΚΟΙΝ.,ΣΙΔΗΡΟΝΕΡΟΥ,10
1004,ΔΗΜΟΣ,ΚΑΤΩ ΝΕΥΡΟΚΟΠΙΟΥ,10
1005,ΔΗΜΟΣ,ΝΙΚΗΦΟΡΟΥ,10
1006,ΔΗΜΟΣ,ΠΑΡΑΝΕΣΤΙΟΥ,10
1007,ΔΗΜΟΣ,ΠΡΟΣΟΤΣΑΝΗΣ,10
1009,ΔΗΜΟΣ,ΣΙΤΑΓΡΩΝ,10
1301,ΔΗΜΟΣ,ΑΛΕΞΑΝΔΡΟΥΠΟΛΗΣ,13
1311,ΔΗΜΟΣ,ΤΡΙΓΩΝΟΥ,13
1312,ΔΗΜΟΣ,ΤΥΧΕΡΟΥ,13
1309,ΔΗΜΟΣ,ΣΟΥΦΛΙΟΥ,13
1313,ΔΗΜΟΣ,ΦΕΡΩΝ,13
1303,ΔΗΜΟΣ,ΔΙΔΥΜΟΤΕΙΧΟΥ,13
1305,ΔΗΜΟΣ,ΜΕΤΑΞΑΔΩΝ,13
1310,ΔΗΜΟΣ,ΤΡΑΪΑΝΟΥΠΟΛΗΣ,13
1302,ΔΗΜΟΣ,ΒΥΣΣΑΣ,13
1304,ΔΗΜΟΣ,ΚΥΠΡΙΝΟΥ,13
1308,ΔΗΜΟΣ,ΣΑΜΟΘΡΑΚΗΣ,13
1307,ΔΗΜΟΣ,ΟΡΦΕΑ,13
1306,ΔΗΜΟΣ,ΟΡΕΣΤΙΑΔΟΣ,13
2303,ΔΗΜΟΣ,ΘΑΣΟΥ,23
2304,ΔΗΜΟΣ,ΚΑΒΑΛΑΣ,23
2310,ΔΗΜΟΣ,ΦΙΛΙΠΠΩΝ,23
2305,ΔΗΜΟΣ,ΚΕΡΑΜΩΤΗΣ,23
2306,ΔΗΜΟΣ,ΟΡΕΙΝΟΥ,23
2311,ΔΗΜΟΣ,ΧΡΥΣΟΥΠΟΛΗΣ,23
2301,ΔΗΜΟΣ,ΕΛΕΥΘΕΡΟΥΠΟΛΗΣ,23
2302,ΔΗΜΟΣ,ΕΛΕΥΘΕΡΩΝ,23
2307,ΔΗΜΟΣ,ΟΡΦΑΝΟΥ,23
2308,ΔΗΜΟΣ,ΠΑΓΓΑΙΟΥ,23
2309,ΔΗΜΟΣ,ΠΙΕΡΕΩΝ,23
3901,ΔΗΜΟΣ,ΑΒΔΗΡΩΝ,39
3902,ΔΗΜΟΣ,ΒΙΣΤΩΝΙΔΟΣ,39
3909,ΔΗΜΟΣ,ΣΤΑΥΡΟΥΠΟΛΗΣ,39
3903,ΚΟΙΝ.,ΘΕΡΜΩΝ,39
3904,ΚΟΙΝ.,ΚΟΤΥΛΗΣ,39
3905,ΔΗΜΟΣ,ΜΥΚΗΣ,39
3906,ΔΗΜΟΣ,ΞΑΝΘΗΣ,39
3908,ΔΗΜΟΣ,ΣΕΛΕΡΟΥ,39
3907,ΚΟΙΝ.,ΣΑΤΡΩΝ,39
3910,ΔΗΜΟΣ,ΤΟΠΕΙΡΟΥ,39
4503,ΔΗΜΟΣ,ΑΡΡΙΑΝΩΝ,45
4505,ΚΟΙΝ.,ΚΕΧΡΟΥ,45
4509,ΚΟΙΝ.,ΟΡΓΑΝΗΣ,45
4512,ΔΗΜΟΣ,ΦΙΛΛΥΡΑΣ,45
4502,ΚΟΙΝ.,ΑΜΑΞΑΔΩΝ,45
4504,ΔΗΜΟΣ,ΙΑΣΜΟΥ,45
4511,ΔΗΜΟΣ,ΣΩΣΤΟΥ,45
4501,ΔΗΜΟΣ,ΑΙΓΕΙΡΟΥ,45
4506,ΔΗΜΟΣ,ΚΟΜΟΤΗΝΗΣ,45
4508,ΔΗΜΟΣ,ΝΕΟΥ ΣΙΔΗΡΟΧΩΡΙΟΥ,45
4507,ΔΗΜΟΣ,ΜΑΡΩΝΕΙΑΣ,45
4510,ΔΗΜΟΣ,ΣΑΠΩΝ,45
1801,ΔΗΜΟΣ,ΑΛΕΞΑΝΔΡΕΙΑΣ,18
1803,ΔΗΜΟΣ,ΑΝΤΙΓΟΝΙΔΩΝ,18
1810,ΔΗΜΟΣ,ΜΕΛΙΚΗΣ,18
1812,ΔΗΜΟΣ,ΠΛΑΤΕΟΣ,18
1804,ΔΗΜΟΣ,ΑΠΟΣΤΟΛΟΥ ΠΑΥΛΟΥ,18
1805,ΔΗΜΟΣ,ΒΕΡΓΙΝΑΣ,18
1806,ΔΗΜΟΣ,ΒΕΡΟΙΑΣ,18
1807,ΔΗΜΟΣ,ΔΟΒΡΑ,18
1809,ΔΗΜΟΣ,ΜΑΚΕΔΟΝΙΔΟΣ,18
1802,ΔΗΜΟΣ,ΑΝΘΕΜΙΩΝ,18
1808,ΔΗΜΟΣ,ΕΙΡΗΝΟΥΠΟΛΗΣ,18
1811,ΔΗΜΟΣ,ΝΑΟΥΣΑΣ,18
2104,ΔΗΜΟΣ,ΑΜΠΕΛΟΚΗΠΩΝ,21
2128,ΔΗΜΟΣ,ΜΕΝΕΜΕΝΗΣ,21
2102,ΔΗΜΟΣ,ΑΓΙΟΥ ΓΕΩΡΓΙΟΥ,21
2106,ΔΗΜΟΣ,ΑΠΟΛΛΩΝΙΑΣ,21
2107,ΔΗΜΟΣ,ΑΡΕΘΟΥΣΑΣ,21
2111,ΔΗΜΟΣ,ΕΓΝΑΤΙΑΣ,21
2127,ΔΗΜΟΣ,ΜΑΔΥΤΟΥ,21
2137,ΔΗΜΟΣ,ΡΕΝΤΙΝΑΣ,21
2105,ΔΗΜΟΣ,ΑΞΙΟΥ,21
2116,ΔΗΜΟΣ,ΕΧΕΔΩΡΟΥ,21
2142,ΔΗΜΟΣ,ΧΑΛΑΣΤΡΑΣ,21
2113,ΔΗΜΟΣ,ΕΠΑΝΟΜΗΣ,21
2117,ΔΗΜΟΣ,ΘΕΡΜΑΪΚΟΥ,21
2129,ΔΗΜΟΣ,ΜΗΧΑΝΙΩΝΑΣ,21
2109,ΔΗΜΟΣ,ΒΑΣΙΛΙΚΩΝ,21
2118,ΔΗΜΟΣ,ΘΕΡΜΗΣ,21
2130,ΔΗΜΟΣ,ΜΙΚΡΑΣ,21
2119,ΔΗΜΟΣ,ΘΕΣΣΑΛΟΝΙΚΗΣ,21
2141,ΔΗΜΟΣ,ΤΡΙΑΝΔΡΙΑΣ,21
2120,ΔΗΜΟΣ,ΚΑΛΑΜΑΡΙΑΣ,21
2112,ΔΗΜΟΣ,ΕΛΕΥΘΕΡΙΟΥ-ΚΟΡΔΕΛΙΟΥ,21
2115,ΔΗΜΟΣ,ΕΥΟΣΜΟΥ,21
2108,ΔΗΜΟΣ,ΑΣΣΗΡΟΥ,21
2110,ΔΗΜΟΣ,ΒΕΡΤΙΣΚΟΥ,21
2122,ΔΗΜΟΣ,ΚΑΛΙΝΔΟΙΩΝ,21
