10,ΔΡΑΜΑΣ,1
13,ΕΒΡΟΥ,1
23,ΚΑΒΑΛΑΣ,1
39,ΞΑΝΘΗΣ,1
45,ΡΟΔΟΠΗΣ,1
18,ΗΜΑΘΙΑΣ,2
21,ΘΕΣΣΑΛΟΝΙΚΗΣ,2
28,ΚΙΛΚΙΣ,2
41,ΠΕΛΛΗΣ,2
42,ΠΙΕΡΙΑΣ,2
47,ΣΕΡΡΩΝ,2
52,ΧΑΛΚΙΔΙΚΗΣ,2
9,ΓΡΕΒΕΝΩΝ,3
25,ΚΑΣΤΟΡΙΑΣ,3
29,ΚΟΖΑΝΗΣ,3
50,ΦΛΩΡΙΝΗΣ,3
6,ΑΡΤΗΣ,4
20,ΘΕΣΠΡΩΤΙΑΣ,4
22,ΙΩΑΝΝΙΝΩΝ,4
43,ΠΡΕΒΕΖΗΣ,4
24,ΚΑΡΔΙΤΣΗΣ,5
33,ΛΑΡΙΣΗΣ,5
37,ΜΑΓΝΗΣΙΑΣ,5
48,ΤΡΙΚΑΛΩΝ,5
16,ΖΑΚΥΝΘΟΥ,6
27,ΚΕΦΑΛΛΗΝΙΑΣ,6
26,ΚΕΡΚΥΡΑΣ,6
36,ΛΕΥΚΑΔΟΣ,6
2,ΑΙΤΩΛ/ΝΙΑΣ,7
7,ΑΧΑΪΑΣ,7
17,ΗΛΕΙΑΣ,7
8,ΒΟΙΩΤΙΑΣ,8
14,ΕΥΒΟΙΑΣ,8
15,ΕΥΡΥΤΑΝΙΑΣ,8
49,ΦΘΙΩΤΙΔΟΣ,8
51,ΦΩΚΙΔΟΣ,8
1,ΑΘΗΝΩΝ,9
40,ΠΕΙΡΑΙΩΣ,9
3,ΑΝΑΤ. ΑΤΤΙΚΗΣ,9
11,ΔΥΤΙΚΗΣ ΑΤΤΙΚΗΣ,9
4,ΑΡΓΟΛΙΔΟΣ,10
5,ΑΡΚΑΔΙΑΣ,10
30,ΚΟΡΙΝΘΙΑΣ,10
32,ΛΑΚΩΝΙΑΣ,10
38,ΜΕΣΣΗΝΙΑΣ,10
46,ΣΑΜΟΥ,11
35,ΛΕΣΒΟΥ,11
54,ΧΙΟΥ,11
31,ΚΥΚΛΑΔΩΝ,12
12,ΔΩΔΕΚΑΝΗΣΟΥ,12
19,ΗΡΑΚΛΕΙΟΥ,13
34,ΛΑΣΙΘΙΟΥ,13
44,ΡΕΘΥΜΝΗΣ,13
53,ΧΑΝΙΩΝ,13
